Location,Date,Species,IOC_14.1,English,BTO,ABR,nuclear species,,Family,Long,Lat,Alt,number,M,F,MC,AC,Area,Season,Group,顺序,有无录音,Record,Note,M序号,M录前,M参加,M call,有鹛,有山雀,Mtype,initiator,F序号,F参加,F call,Type
qiandaohu,2023/12/9 14:59,黑短脚鹎,Hypsipetes leucocephalus,Black Bulbul,Others,BLBU,,,Pycnonotidae,118.876086,29.536041,156,4,,,,,线路3,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/9 14:59,大山雀,Parus minor,Asian Tit,Tit,ASTI,Yes,,Paridae,118.876086,29.536041,156,15,,,,,线路3,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/9 14:59,白鹡鸰,Motacilla alba,White Wagtail,Others,WHWA,#N/A,,Motacillidae,118.876086,29.536041,156,5,,,,,线路3,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/9 14:59,暗绿绣眼鸟,Zosterops simplex,Swinhoe's White-eye,Babbler,SHWE,#N/A,,Zosteropidae,118.876086,29.536041,156,2,,,,,线路3,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/9 14:59,黑鸢,Milvus migrans,Black Kite,Others,BLKI,#N/A,,Accipitridae,118.876086,29.536041,156,2,,,,,线路3,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/9 14:59,栗背短脚鹎,Hemixos castanonotus,Chestnut Bulbul,Others,CHBU,,,Pycnonotidae,118.876086,29.536041,156,10,,,,,线路3,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/9 14:59,黄冠橙腹叶鹎,Chloropsis hardwickii,Orange-bellied Leafbird,Others,OBLB,,,Chloropseidae,118.876086,29.536041,156,1,,,,,线路3,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/9 14:59,北红尾鸲,Phoenicurus auroreus,Daurian Redstart,Others,DARE,,,Muscicapidae,118.876086,29.536041,156,2,,,,,线路3,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/9 15:02,栗背短脚鹎,Hemixos castanonotus,Chestnut Bulbul,Others,CHBU,,,Pycnonotidae,118.875958,29.536178,148,10,,,,,线路2,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/10 09:57,栗背短脚鹎,Hemixos castanonotus,Chestnut Bulbul,Others,CHBU,,,Pycnonotidae,118.879091,29.529603,156,10,,,,,线路2,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/10 09:57,淡眉雀鹛,Alcippe hueti,Huet's Fulvetta,Babbler,HUFU,Yes,,Alcippeidae,118.87912,29.529573,156,20,,F,,AC,线路2,Winter,F1,1,N,MixPre-001,,,,,,,,,,1,3,0,Babbler
qiandaohu,2023/12/10 09:57,褐柳莺,Phylloscopus fuscatus,Dusky Warbler,Others,DUWA,,,Phylloscopidae,118.879071,29.529569,156,5,,F,,,线路2,Winter,F1,2,,,,,,,,,,,,,,,
qiandaohu,2023/12/10 09:58,黄眉柳莺,Phylloscopus inornatus,Yellow-browed Warbler,Others,YBWA,,,Phylloscopidae,118.879034,29.529505,155,1,,F,,,线路2,Winter,F1,3,,,,,,,,,,,,,,,
qiandaohu,2023/12/10 10:07,斑姬啄木鸟,Picumnus innominatus,Speckled Piculet,Others,SPPI,,,Picidae,118.879648,29.527759,129,1,,,,,线路2,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/10 10:07,红头穗鹛,Cyanoderma ruficeps,Rufous-capped Babbler,Babbler,RUBA,,,Timaliidae,118.879343,29.529379,134,2,,F,,AC,线路3,Winter,F2,2,,,,,,,,,,,,,,,
qiandaohu,2023/12/10 10:07,栗背短脚鹎,Hemixos castanonotus,Chestnut Bulbul,Others,CHBU,,,Pycnonotidae,118.879583,29.527776,148,10,,,,,线路3,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/10 10:07,棕脸鹟莺,Abroscopus albogularis,Rufous-faced Warbler,Others,RUWA,,,Cettiidae,118.879343,29.529379,134,1,,F,,,线路3,Winter,F2,1,Y,morning flock,,,,,,,,,,2,2,1,Babbler
qiandaohu,2023/12/10 10:35,棕头鸦雀,Suthora webbiana,Vinous-throated Parrotbill,Babbler,VIPA,#N/A,,Paradoxornithidae,118.879648,29.527759,129,4,,,,,线路3,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/10 10:36,棕脸鹟莺,Abroscopus albogularis,Rufous-faced Warbler,Others,RUWA,,,Cettiidae,118.879595,29.52777,129,2,,,,,线路3,Winter,,,,MixPre-005,,,,,,,,,,,,,
qiandaohu,2023/12/10 10:36,红头长尾山雀,Aegithalos concinnus,Black-throated Bushtit,Tit,BTBT,,,Aegithalidae,118.879555,29.527728,128,1,,F,,,线路1,Winter,F3,1,N,红头长尾山雀,,,,,,,,,,3,2,0,Tits
qiandaohu,2023/12/10 10:36,大山雀,Parus minor,Asian Tit,Tit,ASTI,Yes,,Paridae,118.879641,29.527811,129,10,,F,,AC,线路1,Winter,F3,2,,,,,,,,,,,,,,,
qiandaohu,2023/12/10 10:36,棕脸鹟莺,Abroscopus albogularis,Rufous-faced Warbler,Others,RUWA,,,Cettiidae,118.879334,29.529384,137,1,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/10 10:36,黑短脚鹎,Hypsipetes leucocephalus,Black Bulbul,Others,BLBU,,,Pycnonotidae,118.879059,29.529516,137,20,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/10 10:36,绿翅短脚鹎,Ixos mcclellandii,Mountain Bulbul,Others,MOBU,,,Pycnonotidae,118.879059,29.529516,137,3,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/10 10:36,栗背短脚鹎,Hemixos castanonotus,Chestnut Bulbul,Others,CHBU,,,Pycnonotidae,118.879059,29.529516,137,2,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/10 15:41,红头长尾山雀,Aegithalos concinnus,Black-throated Bushtit,Tit,BTBT,,,Aegithalidae,118.879568,29.52635,130,30,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/10 15:41,淡眉雀鹛,Alcippe hueti,Huet's Fulvetta,Babbler,HUFU,Yes,,Alcippeidae,118.879058,29.529515,137,20,,F,,AC,线路1,Winter,F4,2,,,,,,,,,,,,,,,
qiandaohu,2023/12/10 15:41,黄腰柳莺,Phylloscopus proregulus,Pallas's Leaf Warbler,Others,PALE,,,Phylloscopidae,118.879058,29.529515,137,1,,F,,,线路1,Winter,F4,1,Y,afternoon flock,,,,,,,,,,4,2,1,Babbler
qiandaohu,2023/12/10 15:42,棕脸鹟莺,Abroscopus albogularis,Rufous-faced Warbler,Others,RUWA,,,Cettiidae,118.879568,29.52635,130,2,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/11 08:21,暗绿绣眼鸟,Zosterops simplex,Swinhoe's White-eye,Babbler,SHWE,#N/A,,Zosteropidae,118.930719,29.535296,120,2,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/11 08:21,大山雀,Parus minor,Asian Tit,Tit,ASTI,Yes,,Paridae,118.930773,29.535284,124,5,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/11 08:21,大山雀,Parus minor,Asian Tit,Tit,ASTI,Yes,,Paridae,118.930719,29.535296,120,8,,F,,AC,线路1,Winter,F5,1,N,与Agni偶然遇见，下雨无录音,,,,,,,,,,5,5,0,Tits
qiandaohu,2023/12/11 08:21,红头长尾山雀,Aegithalos concinnus,Black-throated Bushtit,Tit,BTBT,,,Aegithalidae,118.930719,29.535296,120,2,,F,,,线路1,Winter,F5,2,,,,,,,,,,,,,,,
qiandaohu,2023/12/11 08:21,栗背短脚鹎,Hemixos castanonotus,Chestnut Bulbul,Others,CHBU,,,Pycnonotidae,118.930719,29.535296,120,10,,F,,,线路1,Winter,F5,3,,,,,,,,,,,,,,,
qiandaohu,2023/12/11 08:21,黄眉柳莺,Phylloscopus inornatus,Yellow-browed Warbler,Others,YBWA,,,Phylloscopidae,118.930719,29.535296,120,1,,F,,,线路1,Winter,F5,4,,,,,,,,,,,,,,,
qiandaohu,2023/12/11 08:21,暗绿绣眼鸟,Zosterops simplex,Swinhoe's White-eye,Babbler,SHWE,#N/A,,Zosteropidae,118.930719,29.535296,120,5,,F,,,线路1,Winter,F5,5,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 07:49,大山雀,Parus minor,Asian Tit,Tit,ASTI,Yes,,Paridae,118.878507,29.541688,111,5,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 07:49,黄腰柳莺,Phylloscopus proregulus,Pallas's Leaf Warbler,Others,PALE,,,Phylloscopidae,118.878741,29.541513,113,1,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 07:53,白头鹎,Pycnonotus sinensis,Light-vented Bulbul,Others,LVBU,,,Pycnonotidae,118.878436,29.541741,118,3,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 07:54,黑鸢,Milvus migrans,Black Kite,Others,BLKI,#N/A,,Accipitridae,118.878451,29.541688,116,2,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 07:58,红尾水鸲,Phoenicurus fuliginosus,Plumbeous Water Redstart,Others,PLWA,#N/A,,Muscicapidae,118.878889,29.54102,112,1,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 08:13,栗背短脚鹎,Hemixos castanonotus,Chestnut Bulbul,Others,CHBU,,,Pycnonotidae,118.87711,29.536654,151,7,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 08:17,黑鸢,Milvus migrans,Black Kite,Others,BLKI,#N/A,,Accipitridae,118.876903,29.536295,152,1,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 08:23,田鹨,Anthus rufulus,Paddyfield Pipit,Others,PAPI,#N/A,,Motacillidae,118.875663,29.535961,160,3,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 08:28,红胁蓝尾鸲,Tarsiger cyanurus,Red-flanked Bluetail,Others,RFBT,,,Muscicapidae,118.875664,29.5359,161,1,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 08:32,黑短脚鹎,Hypsipetes leucocephalus,Black Bulbul,Others,BLBU,,,Pycnonotidae,118.874891,29.535298,170,5,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 08:43,大山雀,Parus minor,Asian Tit,Tit,ASTI,Yes,,Paridae,118.87436,29.535436,155,5,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 08:45,淡眉雀鹛,Alcippe hueti,Huet's Fulvetta,Babbler,HUFU,Yes,,Alcippeidae,118.874466,29.535373,162,2,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 08:56,棕脸鹟莺,Abroscopus albogularis,Rufous-faced Warbler,Others,RUWA,,,Cettiidae,118.874648,29.535273,165,1,,,,,线路1,Winter,,,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 09:33,栗背短脚鹎,Hemixos castanonotus,Chestnut Bulbul,Others,CHBU,,,Pycnonotidae,118.879293,29.529429,140,5,,,,,线路1,Winter,,,,,录音前,,,,,,,,,,,,
qiandaohu,2023/12/12 09:33,灰喉山椒鸟,Pericrocotus solaris,Grey-chinned Minivet,Others,GRMI,,,Campephagidae,118.879292,29.529429,140,50,M,,MC,,线路1,Winter,M1,1,Y,mobbing,,1,1,7,6,无,有,Tits,,,,,
qiandaohu,2023/12/12 09:34,黑短脚鹎,Hypsipetes leucocephalus,Black Bulbul,Others,BLBU,,,Pycnonotidae,118.879293,29.529429,140,10,M,,MC,,线路1,Winter,M1,2,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 09:34,绿翅短脚鹎,Ixos mcclellandii,Mountain Bulbul,Others,MOBU,,,Pycnonotidae,118.879293,29.529429,140,10,M,,MC,,线路1,Winter,M1,3,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 09:34,红头长尾山雀,Aegithalos concinnus,Black-throated Bushtit,Tit,BTBT,,,Aegithalidae,118.879293,29.529429,140,4,M,,MC,,线路1,Winter,M1,4,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 09:34,大山雀,Parus minor,Asian Tit,Tit,ASTI,Yes,,Paridae,118.879293,29.529429,140,3,M,,MC,,线路1,Winter,M1,5,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 09:34,棕脸鹟莺,Abroscopus albogularis,Rufous-faced Warbler,Others,RUWA,,,Cettiidae,118.879293,29.529429,140,1,M,,MC,,线路1,Winter,M1,6,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 09:43,黄腰柳莺,Phylloscopus proregulus,Pallas's Leaf Warbler,Others,PALE,,,Phylloscopidae,118.880163,29.528641,144,1,M,,,,线路1,Winter,M1,7,,after,,,,,,,,,,,,,
qiandaohu,2023/12/12 09:58,淡眉雀鹛,Alcippe hueti,Huet's Fulvetta,Babbler,HUFU,Yes,,Alcippeidae,118.880173,29.527911,145,20,M,,MC,,线路1,Winter,M2,1,,mobbing2 前和你中,录音前,2,1,6,4,有,有,Both,,,,,
qiandaohu,2023/12/12 09:58,黑短脚鹎,Hypsipetes leucocephalus,Black Bulbul,Others,BLBU,,,Pycnonotidae,118.880173,29.527911,145,25,M,,MC,,线路1,Winter,M2,2,,mobbing2 中和后,先来5后来20,,,,,,,,,,,,
qiandaohu,2023/12/12 09:59,大山雀,Parus minor,Asian Tit,Tit,ASTI,Yes,,Paridae,118.880049,29.527916,136,5,M,,MC,,线路1,Winter,M2,3,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 10:00,栗背短脚鹎,Hemixos castanonotus,Chestnut Bulbul,Others,CHBU,,,Pycnonotidae,118.879583,29.527578,134,10,M,,,,线路1,Winter,M2,4,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 10:02,红头长尾山雀,Aegithalos concinnus,Black-throated Bushtit,Tit,BTBT,,,Aegithalidae,118.879623,29.526975,143,3,M,,MC,,线路1,Winter,M2,5,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 10:03,红胁蓝尾鸲,Tarsiger cyanurus,Red-flanked Bluetail,Others,RFBT,,,Muscicapidae,118.879664,29.526335,131,2,M,,,,线路1,Winter,M2,6,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 10:11,棕脸鹟莺,Abroscopus albogularis,Rufous-faced Warbler,Others,RUWA,,,Cettiidae,118.878319,29.52346,127,10,,F,,,线路1,Winter,F6,2,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 10:11,淡眉雀鹛,Alcippe hueti,Huet's Fulvetta,Babbler,HUFU,Yes,,Alcippeidae,118.878319,29.52346,127,10,,F,,AC,线路1,Winter,F6,1,Y,alarming 1 主4在两分钟,,,,,,,,,,5.5,2,0,Babbler
qiandaohu,2023/12/12 10:13,大山雀,Parus minor,Asian Tit,Tit,ASTI,Yes,,Paridae,118.877413,29.521477,119,5,,F,,AC,线路1,Winter,F6,3,N,alarming 2 主4仅记录棕脸鹟莺用,,,,,,,,,,,,,
qiandaohu,2023/12/12 10:22,淡眉雀鹛,Alcippe hueti,Huet's Fulvetta,Babbler,HUFU,Yes,,Alcippeidae,118.876759,29.521373,114,20,M,,,,线路2,Winter,M3,1,Y,mobbing 3 主5,,3,1,1,1,有,无,Babbler,,,,,
qiandaohu,2023/12/12 13:06,淡眉雀鹛,Alcippe hueti,Huet's Fulvetta,Babbler,HUFU,Yes,,Alcippeidae,118.879658,29.526657,127,10,,F,,AC,线路2,Winter,F7,1,,,,,,,,,,,,6,3,,Both
qiandaohu,2023/12/12 13:07,大山雀,Parus minor,Asian Tit,Tit,ASTI,Yes,,Paridae,118.879658,29.526657,127,5,,F,,AC,线路2,Winter,F7,2,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 13:07,棕脸鹟莺,Abroscopus albogularis,Rufous-faced Warbler,Others,RUWA,,,Cettiidae,118.879658,29.526657,127,2,,F,,,线路2,Winter,F7,3,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 13:14,红头长尾山雀,Aegithalos concinnus,Black-throated Bushtit,Tit,BTBT,,,Aegithalidae,118.879565,29.527758,126,5,,F,,,线路2,Winter,F8,2,,,,,,,,,,,,,,,
qiandaohu,2023/12/12 13:14,大山雀,Parus minor,Asian Tit,Tit,ASTI,Yes,,Paridae,118.879566,29.527759,126,5,,F,MC,AC,线路2,Winter,F8,3,N,最后的挣扎mobbing记录到有红头长尾山雀,录音前,,,,,,,,,,,,
qiandaohu,2023/12/12 13:14,淡眉雀鹛,Alcippe hueti,Huet's Fulvetta,Babbler,HUFU,Yes,,Alcippeidae,118.879565,29.527758,126,10,,F,,AC,线路2,Winter,F8,1,Y,,,,,,,,,,,7,4,1,Both
qiandaohu,2023/12/12 13:15,棕脸鹟莺,Abroscopus albogularis,Rufous-faced Warbler,Others,RUWA,,,Cettiidae,118.879566,29.527759,126,2,,F,,,线路2,Winter,F8,4,N,alarming 4 主5,,,,,,,,,,,,,
qiandaohu,2023/12/12 13:15,灰喉山椒鸟,Pericrocotus solaris,Grey-chinned Minivet,Others,GRMI,,,Campephagidae,118.879565,29.527758,126,1,,F,MC,,线路2,Winter,F8,5,,alarming 5 主5,淡眉雀鹛,,,,,,,,,,,,
qiandaohu,2023/12/12 14:12,红头长尾山雀,Aegithalos concinnus,Black-throated Bushtit,Tit,BTBT,,,Aegithalidae,118.877108,29.536641,154,4,M,,MC,,线路2,Winter,M4,1,,,,4,1,4,3,有,无,Babbler,,,,,
Nanling,2023/12/26 15:44,红头咬鹃,Harpactes erythrocephalus,Red-headed Trogon,Others,RHTG,,,Trogonidae,113.073652,24.911135,553,3,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/26 15:44,栗背短脚鹎,Hemixos castanonotus,Chestnut Bulbul,Others,CHBU,,,Pycnonotidae,113.073653,24.911136,553,10,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/26 15:44,黄眉柳莺,Phylloscopus inornatus,Yellow-browed Warbler,Others,YBWA,,,Phylloscopidae,113.073628,24.911123,549,2,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/26 16:25,栗耳凤鹛,Staphida castaniceps,Striated Yuhina,Babbler,STYU,,,Zosteropidae,113.068013,24.908416,546,3,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/26 16:26,黑短脚鹎,Hypsipetes leucocephalus,Black Bulbul,Others,BLBU,,,Pycnonotidae,113.067863,24.908386,548,5,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/26 16:42,灰背燕尾,Enicurus schistaceus,Slaty-backed Forktail,Others,SLFO,#N/A,,Muscicapidae,113.063633,24.907024,570,1,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/26 16:47,红嘴蓝鹊,Urocissa erythroryncha,Red-billed Blue Magpie,Others,RBBM,,,Corvidae,113.062089,24.907728,570,2,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/27 08:29,白鹇,Lophura nycthemera,Silver Pheasant,Others,SIPH,,,Phasianidae,112.97977,24.924534,1619,1,,,,,第一峰,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/27 08:29,黄眉柳莺,Phylloscopus inornatus,Yellow-browed Warbler,Others,YBWA,,,Phylloscopidae,112.97977,24.924534,1619,1,,,,,第一峰,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/27 08:30,黄嘴栗啄木鸟,Blythipicus pyrrhotis,Bay Woodpecker,Others,BWPK,,,Picidae,112.97977,24.924534,1619,1,,,,,第一峰,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/27 08:45,棕颈钩嘴鹛,Pomatorhinus ruficollis,Streak-breasted Scimitar Babbler,Babbler,SBSB,,,Timaliidae,112.978188,24.923964,1607,1,,,,,第一峰,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/27 08:46,黄颊山雀,Machlolophus spilonotus,Yellow-cheeked Tit,Tit,YCTI,,,Paridae,112.978188,24.923964,1607,1,,,,,第一峰,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/27 08:46,暗绿绣眼鸟,Zosterops simplex,Swinhoe's White-eye,Babbler,SHWE,#N/A,,Zosteropidae,112.978188,24.923964,1607,3,,,,,第一峰,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/27 08:47,淡眉雀鹛,Alcippe hueti,Huet's Fulvetta,Babbler,HUFU,Yes,,Alcippeidae,112.978188,24.923964,1607,2,,,,,第一峰,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/27 08:51,红头长尾山雀,Aegithalos concinnus,Black-throated Bushtit,Tit,BTBT,,,Aegithalidae,112.978188,24.923964,1607,2,,,,,第一峰,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/27 08:52,北红尾鸲,Phoenicurus auroreus,Daurian Redstart,Others,DARE,,,Muscicapidae,112.978188,24.923964,1607,1,,,,,第一峰,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/27 08:53,红胁蓝尾鸲,Tarsiger cyanurus,Red-flanked Bluetail,Others,RFBT,,,Muscicapidae,112.978188,24.923964,1607,2,,,,,第一峰,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/27 09:19,褐胸噪鹛,Garrulax maesi,Grey Laughingthrush,Babbler,GRLA,,,Leiothrichidae,112.982635,24.92608,1616,1,,,,,第一峰,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/27 09:49,灰树鹊,Dendrocitta formosae,Grey Treepie,Others,GRTR,,,Corvidae,112.982635,24.92608,1616,5,,,,,第一峰,Winter,,,,12270949,听音补充,,,,,,,,,,,,
Nanling,2023/12/27 09:49,褐胸噪鹛,Garrulax maesi,Grey Laughingthrush,Babbler,GRLA,,,Leiothrichidae,112.982635,24.92608,1616,2,,,,,第一峰,Winter,,,,,听音补充,,,,,,,,,,,,
Nanling,2023/12/27 09:51,画眉,Garrulax canorus,Chinese Hwamei,Babbler,CHHW,,,Leiothrichidae,112.985503,24.92997,1677,2,,,,,第一峰,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/27 09:52,红嘴蓝鹊,Urocissa erythroryncha,Red-billed Blue Magpie,Others,RBBM,,,Corvidae,112.985503,24.92997,1677,3,,,,,第一峰,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/27 09:55,黄眉柳莺,Phylloscopus inornatus,Yellow-browed Warbler,Others,YBWA,,,Phylloscopidae,112.985503,24.92997,1677,1,,,,,第一峰,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/27 10:34,褐柳莺,Phylloscopus fuscatus,Dusky Warbler,Others,DUWA,,,Phylloscopidae,112.986701,24.929794,1710,4,,,,,第一峰,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/27 11:26,八声杜鹃,Cacomantis merulinus,Plaintive Cuckoo,Others,PLCU,#N/A,,Cuculidae,112.984165,24.928335,1642,1,,,,,第一峰,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/27 13:31,金翅雀,Chloris sinica,Grey-capped Greenfinch,Others,GCGF,#N/A,,Fringillidae,113.081845,24.921454,461,8,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/28 08:01,大山雀,Parus minor,Asian Tit,Tit,ASTI,Yes,,Paridae,113.080621,24.922063,491,5,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/28 08:01,白头鹎,Pycnonotus sinensis,Light-vented Bulbul,Others,LVBU,,,Pycnonotidae,113.080616,24.922061,490,6,,,,,自然园,Winter,,,,same tree very close,,,,,,,,,,,,,
Nanling,2023/12/28 08:01,红耳鹎,Pycnonotus jocosus,Red-whiskered Bulbul,Others,REBU,,,Pycnonotidae,113.080616,24.922061,490,2,,,,,自然园,Winter,,,,same tree very close,,,,,,,,,,,,,
Nanling,2023/12/28 08:01,北红尾鸲,Phoenicurus auroreus,Daurian Redstart,Others,DARE,,,Muscicapidae,113.080616,24.922061,490,1,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/28 08:01,红尾水鸲,Phoenicurus fuliginosus,Plumbeous Water Redstart,Others,PLWA,#N/A,,Muscicapidae,113.080615,24.92206,490,2,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/28 08:02,珠颈斑鸠,Spilopelia chinensis,Spotted Dove,Others,SPDO,#N/A,,Columbidae,113.080616,24.922061,490,1,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/28 08:05,暗绿绣眼鸟,Zosterops simplex,Swinhoe's White-eye,Babbler,SHWE,#N/A,,Zosteropidae,113.079753,24.922495,495,6,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/28 08:05,黄眉柳莺,Phylloscopus inornatus,Yellow-browed Warbler,Others,YBWA,,,Phylloscopidae,113.079753,24.922495,495,2,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/28 08:09,北红尾鸲,Phoenicurus auroreus,Daurian Redstart,Others,DARE,,,Muscicapidae,113.079582,24.922585,496,1,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/28 08:10,红尾水鸲,Phoenicurus fuliginosus,Plumbeous Water Redstart,Others,PLWA,#N/A,,Muscicapidae,113.079583,24.922586,496,1,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/28 08:10,红耳鹎,Pycnonotus jocosus,Red-whiskered Bulbul,Others,REBU,,,Pycnonotidae,113.079583,24.922586,496,2,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/28 08:10,暗绿绣眼鸟,Zosterops simplex,Swinhoe's White-eye,Babbler,SHWE,#N/A,,Zosteropidae,113.079583,24.922586,496,6,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/28 08:10,珠颈斑鸠,Spilopelia chinensis,Spotted Dove,Others,SPDO,#N/A,,Columbidae,113.079583,24.922586,496,1,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/28 08:10,黄眉柳莺,Phylloscopus inornatus,Yellow-browed Warbler,Others,YBWA,,,Phylloscopidae,113.079583,24.922586,496,2,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/28 08:11,棕颈钩嘴鹛,Pomatorhinus ruficollis,Streak-breasted Scimitar Babbler,Babbler,SBSB,,,Timaliidae,113.079583,24.922586,496,3,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/28 08:11,树鹨,Anthus hodgsoni,Olive-backed Pipit,Others,OLPI,,,Motacillidae,113.079583,24.922586,496,2,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
Nanling,2023/12/28 08:11,大山雀,Parus minor,Asian Tit,Tit,ASTI,Yes,,Paridae,113.079533,24.922608,495,5,,,,,自然园,Winter,,,,12280816,,,,,,,,,,,,,
Nanling,2023/12/28 08:13,白头鹎,Pycnonotus sinensis,Light-vented Bulbul,Others,LVBU,,,Pycnonotidae,113.079438,24.922616,499,10,,,,,自然园,Winter,,,,12280819在1分04秒有未识别雀,,,,,,,,,,,,,
Nanling,2023/12/28 08:33,黑短脚鹎,Hypsipetes leucocephalus,Black Bulbul,Others,BLBU,,,Pycnonotidae,113.078351,24.922608,516,5,,,,,自然园,Winter,,,,,,,,,,,,,,,,,
